AHP Matthew Elementary (AHP Matthew)
Bakerview Elementary (Bakerview)
Bridgeview Park Cricket Ground (Bridgeview)
CFV Exhibition (CFV Exhibition)
Chilliwack Meadowbrook (ChilliwackMeadowbrok)
Chilliwack Rosedale (Chilliwack Rosedale)
Connaught (Connaught)
Cougar Creek (Cougar Creek Park)
Crescent North (Crescent North)
Crescent South (Crescent South)
Cugar Creek (Cugar Creek)
Delta (Delta)
Delview Cricket Ground (Delview)
Douglas (Douglas)
Enver Creek (Enver Creek)
Glenmore Soccer Field (Glenmore Soccer Field)
Hugo Ray 1 (Hugo Ray 1)
Hugo Ray 2 (Hugo Ray 2)
Kamloops (Kamloops)
Kelowna (Kelowna)
Keogan Sports Park (Keogan )
Langley (Brown park) (Langley)
Lower Brockton (Lower Brockton)
Mackin (Mackin)
Maple Park (Maple Park)
Memorial (Memorial)
Minoru (Minoru)
Newton Athletic East (Newton Athletic East)
Newton Athletic West (Newton Athletic West)
Norgate Park (Norgate)
North Surrey Community Park (NSCP)
North Vancouver Inter River (Inter River)
Selvey Park Maple Ridge (Selvey Park )
Silverdale Park (Silverdale)
South Surrey Athletic Park (South Surrey)
Sperling #1 - North Ground (Sperling North)
Sperling #2 - South Ground (Sperling South)
Sullivan Heights (Sullivan)
Trafalgar Park (Trafalgar)
Upper Brockton (Upper Brockton)
West Newton Ground (West Newton)
Westerman School (Westerman)
